horizon,h,model,AQL,MAE,RMSE,AQCR,coverage80,AIW,vs_naive_MAE_pct
15 min,1,MR-LSTM,25.555780857041768,64.48091191800492,389.059385683975,0.0,82.45995191332813,160.48608065405026,-33.17168791028923
15 min,1,MR-GRU,25.584253279044624,64.66466133941866,389.06088141060394,0.0,82.29628342168536,161.80344266836204,-32.981249169345915
15 min,1,MRINN,3565787768449.771,143360.898557896,26391754.367854834,0.0,82.80611801512123,178289387342984.4,148479.8910919756
15 min,1,seasonal naive,40.00425605615278,96.48741663779464,549.2735864417252,0.0,79.98622312792399,206.82064056396484,0.0
1 hour,4,MR-GRU,25.845337197611435,65.82508847075815,389.797478457418,0.0,80.41337157092784,155.5431854889677,-31.77219682981579
1 hour,4,MR-LSTM,25.901859138193807,65.9019960882973,389.4364043190744,0.0,80.97100315749833,157.14498512253917,-31.69248196860326
1 hour,4,MRINN,585177919454.7361,59051105.08811485,10965257750.380705,0.0,83.55783436169288,29258010466671.316,61206459.20916167
1 hour,4,seasonal naive,40.00102011655339,96.47839357595488,549.2719127621536,0.0,79.991963491289,206.82064056396484,0.0
1 day,96,MR-GRU,26.005212214293742,66.45997498028044,389.9671505183733,0.0,80.866718808841,158.1201426681035,-31.02092201136908
1 day,96,MR-LSTM,26.12755005471299,66.37290393021999,389.94231427535203,0.0,80.91596419570698,158.49120105238404,-31.111293407904405
1 day,96,MRINN,60737767.64881472,190.05103103659883,21848.557578331973,0.0,82.20213782914749,3036886240.3590007,97.25473708924875
1 day,96,seasonal naive,39.92960017000869,96.34801873001885,548.8667267677625,0.0,79.991963491289,206.82064056396484,0.0
