horizon,h,model,AQL,MAE,RMSE,AQCR,coverage80,AIW,vs_naive_MAE_pct
15 min,1,MR-GRU,25.320158004760742,63.279029846191406,388.7583312988281,0.0,84.42397381304133,162.84973907470703,-34.41732398771191
15 min,1,MR-LSTM,25.47593536376953,63.96750259399414,389.0087585449219,0.0,83.93151994438168,160.8158187866211,-33.703787682364236
15 min,1,MRINN,25.843222236633302,65.85233688354492,389.76336669921875,0.0,82.76701138437473,160.37830352783203,-31.750336802208246
15 min,1,seasonal naive,40.00425605615278,96.48741663779464,549.2735864417252,0.0,79.98622312792399,206.82064056396484,0.0
1 hour,4,MR-GRU,25.644470405578616,64.33373260498047,389.0558319091797,0.0,82.32380290258104,159.83863830566406,-33.31798942699826
1 hour,4,MR-LSTM,25.729858016967775,64.71498489379883,389.1220245361328,0.0,82.0268821876539,157.8629150390625,-32.922820856412336
1 hour,4,MRINN,26.003257179260252,66.27539443969727,389.83277893066406,0.0,82.83218910228557,161.9882049560547,-31.305454015960155
1 hour,4,seasonal naive,40.00102011655339,96.47839357595488,549.2719127621536,0.0,79.991963491289,206.82064056396484,0.0
1 day,96,MR-GRU,25.790112304687497,64.9883804321289,389.2511749267578,0.0,82.62072361750819,160.84709930419922,-32.54829597042801
1 day,96,MR-LSTM,25.88587169647217,65.37019729614258,389.3504638671875,0.0,82.09640508675879,158.70358276367188,-32.152006696350064
1 day,96,MRINN,26.13842830657959,66.7253532409668,390.06982421875,0.0,82.01964021899713,161.0012664794922,-30.74548483665146
1 day,96,seasonal naive,39.92960017000869,96.34801873001885,548.8667267677625,0.0,79.991963491289,206.82064056396484,0.0
