tag,seed,h,minutes_ahead,AQL,MAE,RMSE,AQCR,coverage80,AIW
gru_no_known,42,1,15,24.914836120605468,61.48940658569336,385.54296875,0.0,83.1027073485174,162.64993286132812
gru_no_known,42,2,30,25.17193031311035,62.60403823852539,386.5953063964844,0.0,82.56983240223464,159.846923828125
gru_no_known,42,3,45,25.86575393676758,64.94940185546875,387.3709411621094,0.0,80.61309268013179,159.01255798339844
gru_no_known,42,4,60,25.919822692871094,65.61502075195312,388.07867431640625,0.0,81.41527001862198,157.59910583496094
gru_no_known,42,5,75,26.58110122680664,68.07394409179688,388.6478271484375,0.0,79.1806331471136,156.56483459472656
gru_no_known,42,6,90,26.48672752380371,67.4225082397461,388.6974182128906,0.0,80.04010886692451,156.61985778808594
gru_no_known,42,7,105,26.945588302612304,69.30506896972656,389.2412414550781,0.0,78.29537315570835,154.8494415283203
gru_no_known,42,8,120,26.768696975708007,68.37787628173828,389.0605163574219,0.0,79.58458673542472,156.4289093017578
gru_no_known,42,9,135,27.388137817382812,70.79682159423828,389.5071716308594,0.0,77.15513536742587,153.75167846679688
gru_no_known,42,10,150,27.041424179077147,69.2457275390625,389.0605773925781,0.0,78.98868356968916,156.0843505859375
gru_no_known,42,11,165,27.688123321533205,71.68097686767578,389.59527587890625,0.0,76.07506087953016,153.1049346923828
gru_no_known,42,12,180,27.294875717163087,70.1342544555664,389.14215087890625,0.0,78.38705056582151,155.63206481933594
gru_no_known,42,13,195,28.01888313293457,72.69522094726562,389.7380676269531,0.0,75.18693596905888,152.7139129638672
gru_no_known,42,14,210,27.534101486206055,70.98390197753906,389.2594909667969,0.0,77.59633290359548,155.11549377441406
gru_no_known,42,15,225,28.204089736938478,73.30779266357422,389.8775329589844,0.0,74.5194098266724,152.82461547851562
gru_no_known,42,16,240,27.749764251708985,71.65892791748047,389.4438171386719,0.0,76.96605070906747,154.80613708496094
gru_no_known,42,17,255,28.333074188232423,73.72120666503906,389.94940185546875,0.0,74.23578283913479,153.6966552734375
