horizon,h,MODEL,RULES,AQL,MAE,RMSE,sMAPE,sat200_%
15 min,1,MRINN,yes,25.143578550081912,64.16902923583984,389.3329772949219,61.754459381103516,8.817821036470553
1 hour,4,MRINN,yes,25.38255058708059,64.7839126586914,389.5836181640625,61.86548614501953,8.817821036470553
1 day,96,MRINN,yes,26.114523802942355,67.19488525390625,390.267822265625,63.798606872558594,8.835201761246777
15 min,1,MLP,no,25.280997971677948,64.20936584472656,388.790283203125,62.37865447998047,8.768575649604589
1 hour,4,MLP,no,25.365241269771854,64.34272766113281,388.89483642578125,61.98441696166992,8.788853161843516
1 day,96,MLP,no,26.255673661760685,67.42292785644531,389.8204040527344,64.60432434082031,8.875756785724631
15 min,1,MR-GRU,yes,24.923763940688925,62.20304870605469,388.6437072753906,60.2673225402832,8.794646736768923
1 hour,4,MR-GRU,yes,25.18111136264541,63.26650619506836,388.8760681152344,60.62109375,8.785956374380811
1 day,96,MR-GRU,yes,25.916413848047878,66.31938171386719,389.5472717285156,62.722755432128906,8.759885287216477
15 min,1,GRU,no,24.56586445039776,61.834716796875,388.55291748046875,60.92225646972656,8.435445091393644
1 hour,4,GRU,no,25.190080190507516,64.1128158569336,389.2637023925781,61.786476135253906,8.693259175574287
1 day,96,GRU,no,26.00807091914944,67.0529556274414,389.9579772949219,64.06929779052734,8.742504562440253
15 min,1,MR-LSTM,yes,25.18377563913429,63.147621154785156,388.879150390625,61.3642578125,8.823614611395962
1 hour,4,MR-LSTM,yes,25.362333780763898,63.802734375,388.9212951660156,61.635860443115234,8.907621447814373
1 day,96,MR-LSTM,yes,26.083941368328286,66.89982604980469,389.65283203125,63.42656707763672,8.7772660119927
15 min,1,LSTM,no,24.85414327588081,63.1029167175293,388.5547790527344,61.25342559814453,8.58318125199154
1 hour,4,LSTM,no,25.197014554073213,64.23821258544922,388.9345703125,61.65702819824219,8.609252339155876
1 day,96,LSTM,no,25.963312600823414,66.99452209472656,389.7159118652344,64.34893035888672,8.681672025723474
15 min,1,XGBoost,no,22.968897785993786,56.35252380371094,385.9037170410156,55.3399543762207,7.592479939746822
1 hour,4,XGBoost,no,25.481399479763546,63.593021392822266,388.61785888671875,61.03850555419922,8.467309753483388
1 day,96,XGBoost,no,26.882729524103397,68.52955627441406,390.2947082519531,65.42168426513672,8.73960777497755
15 min,1,AttnBiLSTM,no,25.171793649477216,64.18639373779297,388.9184875488281,62.8599967956543,8.455722603632571
1 hour,4,AttnBiLSTM,no,25.357261668243847,64.65570831298828,389.0765686035156,62.36439514160156,8.652704151096433
1 day,96,AttnBiLSTM,no,26.335921723281867,68.09759521484375,389.9938049316406,65.31681060791016,8.713536687813216
15 min,1,LQR,no,25.905535575147166,67.68711853027344,386.714599609375,65.72240447998047,10.541409576779353
1 hour,4,LQR,no,27.333900114264658,73.59147644042969,391.8149108886719,70.0226058959961,10.82529474812433
1 day,96,LQR,no,28.59275417294079,77.05695343017578,392.56756591796875,72.92291259765625,10.83977868543785
