model,T,seed,AQL,AQCR,AQCE,AIW,MAE,RMSE,R2,Params,TrainSec,n_test
mrinn,1,42,12.34586704867178,0.0,2.4512987012987013,86.00389862060547,33.26843995698033,58.46567997154352,0.5022717883657107,1799,103.0,11704
mrinn,8,42,12.542157420294044,0.0,5.949816192186031,84.36854553222656,33.754235857955074,64.60046282013215,0.3926885116192339,2695,101.5,11697
lstm,8,42,12.21662017206339,0.0,7.403180302641704,89.04344177246094,32.067120225473055,56.133539957086604,0.5414516871408088,5511,280.4,11697
gru,8,42,12.197402963270909,0.0,4.825596306745316,84.88841247558594,33.003314315995304,56.20423387880071,0.540295979124334,4615,275.4,11697
mrinn,1,43,12.15536288086352,0.0,5.360560492139438,85.9764633178711,32.95155279844148,56.18041379313819,0.540421064494218,1799,65.5,11704
mrinn,8,43,12.180338777267512,0.0,3.5132940070103427,80.76205444335938,32.57977929682247,57.3724212638614,0.5209877775407351,2695,67.5,11697
lstm,8,43,11.994371997478169,0.0,2.000940412071475,71.24866485595703,32.53043556604927,57.18839220504322,0.5240558296497926,5511,227.3,11697
gru,8,43,12.102974993359512,0.0,1.5298794562708384,80.4124755859375,33.06841104017926,56.9233695665998,0.5284568524810371,4615,256.8,11697
mrinn,1,44,12.321520409554925,0.0,0.8595352016404656,76.69784545898438,33.808372314440085,56.46913749186733,0.53568516860697,1799,105.0,11704
mrinn,8,44,12.405236235270213,0.0,0.8160212020176083,80.07308959960938,33.61648423018347,57.29176410294088,0.5223336718560019,2695,114.3,11697
lstm,8,44,12.326454455848276,0.0,3.397879798238862,85.23796844482422,33.876178349279506,56.72205444774665,0.5317862724725875,5511,289.0,11697
gru,8,44,12.16227127142221,0.0,0.5988715055142368,76.9693374633789,33.166103941324984,55.83092362504152,0.5463824351095941,4615,340.8,11697
mrinn,1,45,12.456279022077211,0.0,6.748974709501021,96.62808227539062,33.162282302441554,56.23978779016094,0.5394491436559048,1799,116.5,11704
mrinn,8,45,12.57428423559532,0.0,6.296058818500466,88.65618896484375,34.09824106175656,60.22521715290208,0.4721664552110403,2695,116.6,11697
lstm,8,45,12.039134770309271,0.0,2.61990253911259,82.15135955810547,32.522326070162045,56.56501248638339,0.5343752976945395,5511,290.8,11697
gru,8,45,12.046243986141516,0.0,4.795674104471226,83.53390502929688,32.27733134401286,55.6626048535076,0.5491134398283898,4615,295.0,11697
mrinn,1,46,12.397091424782726,0.0,4.416438824333563,84.61664581298828,32.55018725912296,58.21439659447416,0.5065410297736884,1799,75.6,11704
mrinn,8,46,12.656810597379309,0.0,3.628708215781823,84.2629165649414,34.522843772917824,59.68110807535096,0.4816608722178841,2695,71.9,11697
lstm,8,46,12.371410161907328,0.0,0.9870052150123988,81.95542907714844,34.067349994540166,57.7960547325136,0.5138876831661343,5511,245.6,11697
gru,8,46,12.69840483311516,0.0,1.5264597760109466,80.53754425048828,35.90748343366032,58.99871814435198,0.4934464193623102,4615,318.8,11697
lstm,1,42,12.271157812588228,0.0,2.728981544771014,84.2268295288086,32.90806362561552,56.825799043510095,0.5298013802479735,5511,130.9,11704
gru,1,42,12.223537712109533,0.0,7.953691045796307,90.50146484375,32.84433453587218,56.93658956583921,0.5279661457699265,4615,103.9,11704
mrinn,4,42,12.28864020216032,0.0,5.784548329202632,84.38310241699219,33.30404533882611,59.99025242151632,0.4761035089913255,2183,63.6,11701
lstm,4,42,12.467466920078644,0.0,7.643363815058541,94.77385711669922,32.67052328775947,56.75796322482309,0.5310379327463443,5511,145.6,11701
gru,4,42,12.341542230383467,0.0,7.587813007435262,87.88933563232422,33.269591802321386,56.46778525908164,0.5358208596428524,4615,167.8,11701
mrinn,16,42,12.549559778374729,0.0,4.817777397553252,85.87600708007812,34.572192660469305,61.28075645978248,0.453861405246714,3719,65.2,11689
lstm,16,42,12.179684765660076,0.0,4.706561724698433,86.03913116455078,32.11071656286278,55.89381938952376,0.5456587090241795,5511,357.7,11689
gru,16,42,12.03847863511042,0.0,3.513132004448627,80.88975524902344,32.70079007232688,55.86210976763797,0.546174075625425,4615,492.5,11689
mrinn,32,42,12.831357480456452,0.0,1.78231817013621,79.667724609375,34.82947672616517,65.54794042511128,0.3758268497749625,5767,102.5,11673
lstm,32,42,12.152115336794026,0.0,4.900625374796536,87.07957458496094,32.29484394957503,56.50629375792526,0.5361467241484175,5511,643.9,11673
gru,32,42,11.995753264752274,0.0,5.294697164396467,83.40601348876953,32.51529336660568,56.1554519482872,0.5418888776898017,4615,791.7,11673
