model,T,AQL,AQCR,AQCE,AIW,MAE,RMSE,R2,Params,TrainSec,n_test
mrinn,1,12.261061602360183,0.0,2.609364319890628,82.19367980957031,32.84215278812317,55.517187756215954,0.5512079399074216,1799,84.8,11704
lstm,1,12.273377347065892,0.0,2.8528708133971237,84.51225280761719,32.89458571226254,56.823520032017925,0.5298390943351634,5511,141.7,11704
gru,1,12.221189517346785,0.0,7.868250170881747,90.26963806152344,32.86071267833718,56.939242334687144,0.5279221590863487,4615,156.0,11704
mrinn,4,12.179304387280895,0.0,1.8959917955730266,77.87287902832031,32.42776930832086,55.51093617445398,0.5514186493622935,2183,89.9,11701
lstm,4,12.479409838513503,0.0,7.7373728741133245,95.02413940429688,32.664485276351705,56.78308652177955,0.5306226789152836,5511,219.3,11701
gru,4,12.351944143718336,0.0,7.485257670284584,87.85737609863281,33.318302796042,56.511328746814534,0.5351047071835149,4615,253.5,11701
mrinn,8,12.305493257804628,0.0,5.445413353851414,86.56655883789062,33.28547390151413,57.28603075844045,0.5224292698403714,2695,87.6,11697
lstm,8,12.221017484807751,0.0,7.398905702316827,89.01036834716797,32.0860149422777,56.153072176243676,0.5411325188007003,5511,312.2,11697
gru,8,12.197867916290244,0.0,4.9452851158416635,85.08244323730469,32.996973207580915,56.21160921133296,0.5401753230014217,4615,387.4,11697
mrinn,16,12.513459796252627,0.0,4.509795534262984,84.87063598632812,33.50825935271916,57.252485079954056,0.523302013326357,3719,92.5,11689
lstm,16,12.178693890945123,0.0,4.608178629480703,85.98194885253906,32.10209198287039,55.87521712360353,0.5459610813139637,5511,513.6,11689
gru,16,12.03471778930172,0.0,3.910941911198562,81.45002746582031,32.65766374947229,55.823797518231295,0.5467963625289018,4615,652.5,11689
mrinn,32,12.795602505422819,0.0,4.292384134327076,86.82728576660156,34.92388000936431,59.156303942304106,0.4916193107903133,5767,91.4,11673
lstm,32,12.160123134830148,0.0,5.084811102544329,87.56062316894531,32.32039722369044,56.55163884867939,0.5354019607974738,5511,895.7,11673
gru,32,11.985008637677542,0.0,5.059110768439989,82.7187271118164,32.51200256140323,56.136538461961905,0.5421974147604895,4615,1183.6,11673
mrinn,64,12.981103813737837,0.0,2.464135383558108,83.89453887939453,34.90224941424929,60.02941128092301,0.47700753418008235,9863,103.8,11641
lstm,64,12.126691787774421,0.0,5.741345245253843,87.30375671386719,32.21040276985832,55.915142125871455,0.54624008227381,5511,1693.0,11641
gru,64,11.970175630319556,0.0,3.383300403745376,80.54280090332031,32.600289186997976,55.90680831611487,0.546375332471784,4615,2195.3,11641
mrinn,96,13.049892149207315,0.0,5.927728486519079,90.91563415527344,35.11322890354987,57.6501268089638,0.5159547841768497,13959,107.4,11609
lstm,96,12.162935010566775,0.0,5.341976053062275,85.78538513183594,32.239129768716715,55.99469605344826,0.5433545009582601,5511,2568.4,11609
gru,96,12.019886368612081,0.0,2.878370229993965,79.12370300292969,32.52688680174233,56.42608697683717,0.5362912765068162,4615,3291.6,11609
