model,T,H,scaling,num_layer,seed,tag,AQL,AQCR,AQCE,AIW,MAE,RMSE,R2,Params,TrainSec,best_epoch,n_test,cfg
gru,32,8,percol,1,42,gru_T32_H8_percol,12.444885743350156,0.0,4.665038978840053,86.20967102050781,34.04656888552559,56.91763112122359,0.529368907542964,4615,1036.0,50,11673,gru_T32_H8_percol
gru,32,8,percol,1,43,gru_T32_H8_percol,12.230611175245768,0.0,1.803735115223165,79.58631896972656,33.056837573359026,57.45637758778583,0.5204173468610129,4615,1019.4,48,11673,gru_T32_H8_percol
gru,32,8,percol,1,44,gru_T32_H8_percol,12.164796380762102,0.0,4.609354921613979,79.66936492919922,32.623080240689625,55.88909929115858,0.5462243334345213,4615,872.5,48,11673,gru_T32_H8_percol
gru,32,11,percol,1,42,gru_T32_H11_percol,12.30666221277681,0.0,3.464833376167226,78.34809875488281,33.53538801490855,57.25876732431967,0.5237105402697133,7921,1001.7,46,11673,gru_T32_H11_percol
gru,32,11,percol,1,43,gru_T32_H11_percol,12.734203920143406,0.0,3.4905337102715706,74.65909576416016,34.11502053036028,58.53626518558004,0.5022205067465442,7921,996.5,46,11673,gru_T32_H11_percol
gru,32,11,percol,1,44,gru_T32_H11_percol,12.74817419098922,0.0,2.4162597447100085,81.87322998046875,34.237188475031864,58.10922863857698,0.5094568638928729,7921,1282.6,49,11673,gru_T32_H11_percol
mrinn,32,8,percol,2,42,mrinn_T32_H8_percol,13.063502983600223,0.0,5.774436734344213,89.7107162475586,35.215055006884114,59.36473228394975,0.4880305939290779,5767,103.5,45,11673,mrinn_T32_H8_percol
mrinn,32,8,percol,2,43,mrinn_T32_H8_percol,12.56575753293308,0.0,1.2211942088580507,77.25178527832031,34.12108076090126,57.36312541607367,0.5219728167186661,5767,104.9,41,11673,mrinn_T32_H8_percol
mrinn,32,8,percol,2,44,mrinn_T32_H8_percol,12.90031902084678,0.0,3.846911676518455,84.5558090209961,34.180754557792255,58.273347970889205,0.5066820446885095,5767,101.7,50,11673,mrinn_T32_H8_percol
gru,32,11,shared,1,42,gru_T32_H11_shared,12.307149042964758,0.0,3.4819669322367908,78.35157775878906,33.53713542831609,57.2568407279214,0.523742591330639,7921,1018.8,46,11673,gru_T32_H11_shared
gru,32,11,shared,1,43,gru_T32_H11_shared,12.736020051760924,0.0,3.4948170992889604,74.67025756835938,34.12411969762577,58.53629483014422,0.5022200025647409,7921,968.5,46,11673,gru_T32_H11_shared
gru,32,11,shared,1,44,gru_T32_H11_shared,12.739021505465114,0.0,2.484793968988264,82.08030700683594,34.28583953024564,58.09941006368442,0.5096226216467488,7921,968.1,49,11673,gru_T32_H11_shared
lstm,32,8,percol,1,42,lstm_T32_H8_percol,12.200192627203013,0.0,4.742139981153088,84.38967895507812,32.72165020255878,56.765186738876174,0.5318865452659163,5511,680.5,43,11673,lstm_T32_H8_percol
lstm,32,8,percol,1,43,lstm_T32_H8_percol,12.40964249795061,0.0,1.79088494817099,76.52558898925781,33.863443323770994,57.706584617421385,0.5162313459684609,5511,788.9,46,11673,lstm_T32_H8_percol
lstm,32,10,percol,1,42,lstm_T32_H10_percol,12.172734158800472,0.0,0.7877152402981313,77.74146270751953,33.0219717326331,56.09913188742877,0.5428073248629783,8163,839.9,50,11673,lstm_T32_H10_percol
lstm,32,10,percol,1,43,lstm_T32_H10_percol,12.26243840673486,0.0,2.522487792341299,73.16889190673828,32.62516815721951,56.73324537164415,0.5324132052798751,8163,803.7,48,11673,lstm_T32_H10_percol
gru,64,11,percol,1,42,gru_T64_H11_percol,12.28963635856598,0.0,3.600635684219572,76.2376480102539,33.51577495417288,57.37665109537904,0.5222093391984531,7921,1845.5,45,11641,gru_T64_H11_percol
gru,64,11,percol,1,43,gru_T64_H11_percol,12.84558644767362,0.0,4.386650631389058,74.28121948242188,34.322570223290846,59.4073902094338,0.4877898121953333,7921,1805.5,49,11641,gru_T64_H11_percol
gru,32,6,percol,2,42,gru_T32_H6_percol_L2,12.419584496913052,0.0,2.3168851195065567,77.12874603271484,33.088754877834006,56.36365060051202,0.5384856488288146,6923,1554.8,49,11673,gru_T32_H6_percol_L2
lstm,32,6,percol,2,42,lstm_T32_H6_percol_L2,12.188460053036172,0.0,4.695022701961787,84.50717163085938,33.1963316408161,57.41260741983148,0.5211477589943873,8363,1179.0,50,11673,lstm_T32_H6_percol_L2
gru,32,8,shared,1,42,gru_T32_H8_shared,12.435373731387198,0.0,4.656472200805273,86.30197143554688,34.03057690615434,56.9197391746368,0.5293340454507188,4615,772.5,50,11673,gru_T32_H8_shared
gru,32,8,shared,1,43,gru_T32_H8_shared,12.228118801907032,0.0,2.107855735457892,79.93116760253906,33.04864728137636,57.46245476479808,0.5203158903149621,4615,757.6,48,11673,gru_T32_H8_shared
gru,32,8,shared,1,44,gru_T32_H8_shared,12.164866720815228,0.0,4.38661869270967,79.27430725097656,32.635993556691936,55.897897751782246,0.5460814489847463,4615,765.6,48,11673,gru_T32_H8_shared
